id,nume,categorie,pret,clasa,consum_energetic,rating,nr_reviewuri,url_produs,imagine_url,Producator,Volum,Inaltime,Alb,Argintiu,O_usa,Doua_usi,Minibar
46,"Frigider cu doua usi LG GTBV38PZGKD, 335 l, Full No frost, LinearCooling, DoorCooling+, Compresor Inverter Linear, Clasa E, H 172 cm, Inox",Frigidere,2379.99,E,227,3,2,https://www.emag.ro/frigider-cu-doua-usi-lg-335-l-full-no-frost-linearcooling-doorcooling-compresor-inverter-linear-clasa-e-h-172-cm-inox-gtbv38pzgkd/pd/D48ZBFYBM/,https://s13emagst.akamaized.net/products/71134/71133146/images/res_7478fc9c5a7766283ea592f4bba85cef.jpg?width=720&height=720&hash=493D5C1E6366D23149D0F7DB452011FF,LG,335,168,0,1,0,1,0
47,"Frigider cu doua usi LG GTBV20PYGKD, 266 l, No Frost, Clasa E, Compresor Inverter, H 168 cm, Argintiu",Frigidere,2399.99,E,203,4.5,2,https://www.emag.ro/frigider-cu-doua-usi-lg-266-l-no-frost-clasa-e-compresor-inverter-h-168-cm-argintiu-gtbv20pygkd/pd/D71N3SYBM/,https://s13emagst.akamaized.net/products/73057/73056899/images/res_3001fb5b3e7f039fa3ec04f80f764fbc.jpg?width=720&height=720&hash=A920333F79D0F6573ECD874F775040C6,LG,266,86,0,1,0,1,0
48,"Frigider incorporabil Beko B1754N, 110 l, Clasa E, Rafturi ajustabile, Termostat reglabil, XXL Bottle holder, Cutie legume si fructe, Congelator, H 86,6 cm",Frigidere,1249.89,E,141,0,0,https://www.emag.ro/frigider-incorporabil-beko-110-l-clasa-e-rafturi-ajustabile-termostat-reglabil-xxl-bottle-holder-cutie-legume-si-fructe-congelator-h-86-6-cm-b1754n/pd/DHTR5HYBM/,https://s13emagst.akamaized.net/products/68216/68215852/images/res_bd940d4619eb58dbdf329ffe226aa015.jpg?width=720&height=720&hash=3CBCF0258E7EBE1B062B0DBEA41CF90C,Beko,110,143,0,0,0,0,0
49,"Frigider cu doua usi Heinner HF-H2206SF+, 205L, Clasa F, Lumina LED, H 143 cm, Argintiu",Frigidere,1047.82,F,215,4.74,39,https://www.emag.ro/frigider-cu-doua-usi-heinner-205l-clasa-f-lumina-led-h-143-cm-argintiu-hf-h2206sf/pd/DF4XC2MBM/,https://s13emagst.akamaized.net/products/32933/32932152/images/res_1471bccf42895a08a0016f55fcf6088c.jpg?width=720&height=720&hash=4875EF8AB8B563E2E2BCE53CDAACF9F8,Heinner,205,122,0,1,0,1,0
50,"Frigider cu doua usi Samsung RT47CG6726B1EO, 462 l, Clasa E, No Frost, Dozator de apa, All Around Cooling, WiFi, Smart Control, Dark Inox",Frigidere,3374.11,E,257,4.65,17,https://www.emag.ro/frigider-cu-doua-usi-samsung-462-l-clasa-e-no-frost-dozator-de-apa-all-around-cooling-wifi-smart-control-dark-inox-rt47cg6726b1eo/pd/DDPR4BYBM/,https://s13emagst.akamaized.net/products/57849/57848734/images/res_36b518c9f0f9ed10492ff656984a50b3.jpg?width=720&height=720&hash=D638CF941B41529F5FE20F9592DB2826,Samsung,462,85,0,1,0,1,0
51,"Frigider BekoGN1416240XPN 4 usi, tehnologie racire 3 Zone NeoFrost, vol 572l, clasa energetica E, afisaj electronic, control Touch, Harvest Fresh, lumina interioara, Inverter Compressor, rafturi sticla, Metal look",Frigidere,4489.99,E,338,0,0,https://www.emag.ro/frigider-beko-4-usi-tehnologie-racire-3-zone-neofrost-vol-572l-clasa-energetica-e-afisaj-electronic-control-touch-harvest-fresh-lumina-interioara-inverter-compressor-rafturi-sticla-metal-look-gn141624/pd/DCTBNCYBM/,https://s13emagst.akamaized.net/products/75998/75997078/images/res_54e802f474c70df73ccc874d64592589.jpg?width=720&height=720&hash=963D5B457369DB1348BABF5BE8ED1D65,Beko,572,49,0,1,0,0,0
52,"Frigider cu o usa incorporabil Bosch KIR41VFE0, 204 l, EcoAirflow, Iluminare LED, FreshSense, Clasa E, H 122 cm",Frigidere,2871.02,E,101,5,1,https://www.emag.ro/frigider-cu-o-usa-incorporabil-bosch-204-l-ecoairflow-iluminare-led-freshsense-clasa-e-h-122-cm-kir41vfe0/pd/DR574ZMBM/,https://s13emagst.akamaized.net/products/49519/49518278/images/res_54aeec7cbd87bd617f1389db78c3212d.jpg?width=720&height=720&hash=F34671CC2C7084E36C1A55759FA9C962,Bosch,204,52,0,0,1,0,0
53,"Frigider cu o usa Arctic ATL906WN, 88 l, Clasa E, Garden Fresh, Mix Zone, H 85 cm, Alb",Frigidere,779.9,E,85,4.75,4,https://www.emag.ro/frigider-cu-o-usa-arctic-88-l-clasa-e-garden-fresh-mix-zone-h-85-cm-alb-atl906wn/pd/D6N037YBM/,https://s13emagst.akamaized.net/products/61976/61975196/images/res_ba4025bc7fcfc735b409ca02db01b0ea.jpg?width=720&height=720&hash=DA2E3990C60EE26AF57D5A128541C823,Arctic,88,168,1,0,1,0,0
54,"Frigider minibar STARCREST SMB-46WH, 46 l, Clasa F, H 49.5 cm, Alb",Frigidere,539,F,100,4.81,37,https://www.emag.ro/frigider-minibar-starcrest-46-l-clasa-f-h-49-5-cm-alb-smb-46wh/pd/DPP0MGMBM/,https://s13emagst.akamaized.net/products/55272/55271687/images/res_6bfb334a5e7e0581d45e6b9ab06785c2.jpg?width=720&height=720&hash=7C63C2F44119554B8D7C294B7BB40808,STARCREST,46,121,1,0,0,0,1
55,"Frigider minibar STARCREST SRMB-47BK, Design Vintage, 46 l, Clasa E, H 52 cm, Negru",Frigidere,578.99,E,80,4.76,42,https://www.emag.ro/frigider-minibar-starcrest-design-vintage-46-l-clasa-e-h-52-cm-negru-srmb-47bk/pd/DWNKMDYBM/,https://s13emagst.akamaized.net/products/62838/62837216/images/res_31fce07d93090556454593b1051ca8ab.jpg?width=720&height=720&hash=0FF8F3C96486B70F6C61F7895D39F506,STARCREST,46,186,0,1,0,0,1
