"Product_Index","Original_Price","Random Forest_Predicted","Random Forest_AbsoluteError","Random Forest_PercentError","SVM_Predicted","SVM_AbsoluteError","SVM_PercentError"
349,869.91,1137.08,267.17,30.71,1121.16,251.25,28.88
350,2493.9,2886.68,392.78,15.75,2342.1,151.8,6.09
351,4199.98,3982.15,217.83,5.19,3944.03,255.95,6.09
352,2099.04,2062.88,36.16,1.72,2435.12,336.08,16.01
353,1089.98,1214.66,124.68,11.44,1147.44,57.46,5.27
354,2299.91,2072.38,227.53,9.89,2160.22,139.69,6.07
355,6698.99,5092.82,1606.17,23.98,4451.33,2247.66,33.55
356,1635,1536.4,98.6,6.03,1548.97,86.03,5.26
357,999.6,1023.65,24.05,2.41,849.76,149.84,14.99
358,2939.3,2479.62,459.68,15.64,1856.99,1082.31,36.82
359,2999.04,3745.9,746.86,24.9,4519.53,1520.49,50.7
360,1309,1424.78,115.78,8.84,1543.5,234.5,17.91
361,2499.98,2725.36,225.38,9.02,2430.94,69.04,2.76
362,1640,2633.43,993.43,60.57,2943.03,1303.03,79.45
363,1868.3,1396.34,471.96,25.26,1247.97,620.33,33.2
364,849.9,699.86,150.04,17.65,798.31,51.59,6.07
365,1354.99,1385.85,30.86,2.28,1442.81,87.82,6.48
366,1099,1285.72,186.72,16.99,1259.58,160.58,14.61
367,6999.98,3746.87,3253.11,46.47,3920.23,3079.75,44
368,699.9,677.18,22.72,3.25,736.57,36.67,5.24
369,1294.99,1415.91,120.92,9.34,1617.52,322.53,24.91
370,2599,2592.92,6.08,0.23,2517.44,81.56,3.14
371,1808.8,1628.42,180.38,9.97,1686.33,122.47,6.77
372,7998.94,3736.42,4262.52,53.29,4006.94,3992,49.91
373,2949,2603.1,345.9,11.73,2307.26,641.74,21.76
374,2099.98,2279.18,179.2,8.53,1972.08,127.9,6.09
375,7499.02,3352.55,4146.47,55.29,3751.03,3747.99,49.98
376,4899,3911.94,987.06,20.15,4031.15,867.85,17.71
377,2169.99,1963.72,206.27,9.51,1047.55,1122.44,51.73
378,2499,2160.66,338.34,13.54,1825.11,673.89,26.97
379,1199,1128.44,70.56,5.88,957.63,241.37,20.13
380,2539.9,1916.49,623.41,24.54,1864.98,674.92,26.57
381,1099,1712.79,613.79,55.85,1282.83,183.83,16.73
382,16999.03,3213.75,13785.28,81.09,3721.51,13277.52,78.11
383,3873.45,2605.74,1267.71,32.73,2862.43,1011.02,26.1
384,2023,2079.74,56.74,2.8,2154.61,131.61,6.51
385,2777,2268.62,508.38,18.31,1859.67,917.33,33.03
386,4343.5,3490.32,853.18,19.64,2657.83,1685.67,38.81
387,7758,4323.95,3434.05,44.26,3505.62,4252.38,54.81
388,4641,3823.01,817.99,17.63,2880.09,1760.91,37.94
389,1899,1956.02,57.02,3,1526.56,372.44,19.61
390,1199,1271.22,72.22,6.02,1125.72,73.28,6.11
391,1648.99,1607.03,41.96,2.54,1565.7,83.29,5.05
392,2497.99,2274.23,223.76,8.96,2096.31,401.68,16.08
393,6069,4717.62,1351.38,22.27,4382.9,1686.1,27.78
394,7298.98,3667.4,3631.58,49.75,4369.41,2929.57,40.14
395,1832.6,1870.72,38.12,2.08,1951.83,119.23,6.51
396,3427.2,2581.52,845.68,24.68,2264.94,1162.26,33.91
397,4760,4114.7,645.3,13.56,4513.48,246.52,5.18
398,6698.99,3711.67,2987.32,44.59,4312.85,2386.14,35.62
399,1957.55,1992.39,34.84,1.78,1020.16,937.39,47.89
400,3748.5,3195.25,553.25,14.76,3300.01,448.49,11.96
401,3665.2,3535.36,129.84,3.54,3281.59,383.61,10.47
402,2921.45,2786.14,135.31,4.63,2744.2,177.25,6.07
403,4403,4272.24,130.76,2.97,2918.92,1484.08,33.71
404,799,836.36,37.36,4.68,832.66,33.66,4.21
405,1369,1528.36,159.36,11.64,1607.76,238.76,17.44
406,2199,2182.87,16.13,0.73,2072.2,126.8,5.77
407,3546.2,3224.46,321.74,9.07,2738.01,808.19,22.79
408,1899.99,1718.58,181.41,9.55,1577.33,322.66,16.98
409,6307,5182.42,1124.58,17.83,4030.99,2276.01,36.09
410,3153.5,3271.96,118.46,3.76,2863.31,290.19,9.2
411,8498.98,3554.27,4944.71,58.18,3536.64,4962.34,58.39
412,2299.91,2240.15,59.76,2.6,1899.22,400.69,17.42
413,1339.99,1083.4,256.59,19.15,935.2,404.79,30.21
414,2398.99,2441.27,42.28,1.76,2130.05,268.94,11.21
415,5474,4746.02,727.98,13.3,4431.66,1042.34,19.04
416,4284,3797.56,486.44,11.35,4022.67,261.33,6.1
417,7075.99,3815.69,3260.3,46.08,4676.5,2399.49,33.91
418,2558.5,1971.44,587.06,22.95,2048.06,510.44,19.95
419,2475.2,2145.28,329.92,13.33,2324.18,151.02,6.1
420,1999.98,2234.3,234.32,11.72,2257.49,257.51,12.88
421,13799,3357.14,10441.86,75.67,3746.87,10052.13,72.85
422,2023,1930.61,92.39,4.57,1356.76,666.24,32.93
423,1374.45,1082.36,292.09,21.25,965.13,409.32,29.78
424,929.99,999.6,69.61,7.49,912.4,17.59,1.89
425,7998.94,2713.76,5285.18,66.07,2838.88,5160.06,64.51
426,9998.98,3994.1,6004.88,60.05,6581.82,3417.16,34.18
427,9199.98,2642.64,6557.34,71.28,3068.78,6131.2,66.64
428,3570,2687.38,882.62,24.72,2191.55,1378.45,38.61
429,9998.98,3456.02,6542.96,65.44,4717.35,5281.63,52.82
430,2538,2603.5,65.5,2.58,3171.84,633.84,24.97
431,2189.6,2240.63,51.03,2.33,2388.8,199.2,9.1
432,1699,1587.99,111.01,6.53,1617.09,81.91,4.82
433,5198.99,4264.44,934.55,17.98,3422.95,1776.04,34.16
434,15599,3973.76,11625.24,74.53,5838.7,9760.3,62.57
435,13999.04,3765.38,10233.66,73.1,6185.55,7813.49,55.81
436,6902,1152.13,5749.87,83.31,1771.45,5130.55,74.33
437,3166,3443.79,277.79,8.77,2972.4,193.6,6.11
438,3034.5,2637.52,396.98,13.08,2587.06,447.44,14.75
439,4284,4000.45,283.55,6.62,4022.47,261.53,6.1
440,2011.1,1744.63,266.47,13.25,1065.04,946.06,47.04
441,3599.04,3094.75,504.29,14.01,1933.64,1665.4,46.27
442,3799.98,2616.64,1183.34,31.14,1772.35,2027.63,53.36
443,2915.5,2301.01,614.49,21.08,1061.75,1853.75,63.58
444,17998.99,3348.3,14650.69,81.4,4045.56,13953.43,77.52
445,3213,2768.2,444.8,13.84,3017.21,195.79,6.09
446,2963.1,1944.91,1018.19,34.36,1824.05,1139.05,38.44
447,5355,2758.54,2596.46,48.49,1012.95,4342.05,81.08
448,3034.5,2317.94,716.56,23.61,2626.05,408.45,13.46
449,1998.96,2198.71,199.75,9.99,2755.08,756.12,37.83
450,1899,801.16,1097.84,57.81,613.15,1285.85,67.71
451,7898.98,3818.04,4080.94,51.66,2954.69,4944.29,62.59
452,11941.65,3205.5,8736.15,73.16,3490.03,8451.62,70.77
453,8746.5,3729.02,5017.48,57.37,2916.36,5830.14,66.66
454,11999.01,4310.39,7688.62,64.08,5173.84,6825.17,56.88
455,8498.98,4111.61,4387.37,51.62,5179.55,3319.43,39.06
456,9899.02,4443.21,5455.81,55.11,4991.43,4907.59,49.58
457,11999.01,3918.26,8080.75,67.35,4220.38,7778.63,64.83
458,11305,4049.09,7255.91,64.18,4240.22,7064.78,62.49
459,9799.06,4481.96,5317.1,54.26,5437.58,4361.48,44.51
460,6545,4536.06,2008.94,30.69,2923.97,3621.03,55.33
461,9499.06,3396.67,6102.39,64.24,3334.9,6164.16,64.89
462,8498.98,4716.29,3782.69,44.51,3818.4,4680.58,55.07
463,4499.03,3256.88,1242.15,27.61,2083.23,2415.8,53.7
464,3630.72,3322.39,308.33,8.49,3723.78,93.06,2.56
465,7437.5,3854.91,3582.59,48.17,4001.93,3435.57,46.19
466,3299.87,2285.52,1014.35,30.74,1403.7,1896.17,57.46
467,10999.05,2739.96,8259.09,75.09,2790.05,8209,74.63
468,3498.6,2739.45,759.15,21.7,1152.39,2346.21,67.06
469,3999,2997.04,1001.96,25.06,2921.85,1077.15,26.94
470,9044,3987.47,5056.53,55.91,3750.07,5293.93,58.54
471,6498.95,5178.54,1320.41,20.32,6167.31,331.64,5.1
472,3492.65,2719.57,773.08,22.13,1877.08,1615.57,46.26
473,7729.05,4072.31,3656.74,47.31,3982.82,3746.23,48.47
474,4664.8,4441.46,223.34,4.79,3335.89,1328.91,28.49
475,3927,4388.73,461.73,11.76,3929.25,2.25,0.06
476,4499.03,4531.14,32.11,0.71,3776.38,722.65,16.06
477,2171.75,1419.97,751.78,34.62,839.65,1332.1,61.34
478,3999,4327.45,328.45,8.21,2083.54,1915.46,47.9
